n,Un,Kn
0,-4335.16931582246,0.0
10,-4347.233053062751,12.047437955122769
20,-4364.6451776446065,29.454060099782744
30,-4374.638902644883,39.45188263151174
40,-4380.423012445763,45.23843378115528
50,-4385.967215920541,50.78454460060827
60,-4394.874960055609,59.693134641187456
70,-4407.97807736649,72.78936175573016
80,-4416.926369196817,81.73484188898126
90,-4422.109614037215,86.93296486040587
100,-4440.716972749298,105.52667907931314
110,-4459.4317158584,124.2369202776114
120,-4477.426449979917,142.23613224773572
130,-4491.531933647098,156.30769498779856
140,-4519.067567767729,183.78916173789688
150,-4521.326920983915,186.15263776262424
160,-4559.200379225072,223.92596929614854
170,-4573.230906712419,237.99583569623957
180,-4619.042882370527,283.7567822903152
190,-4668.665455252093,333.39110953238963
200,-4718.306830735063,383.0310955739118
210,-4783.743836116126,448.45458628593
220,-4824.062988557164,488.77433772786816
230,-4849.417755733037,514.0949602184382
240,-4856.547681328573,521.2501105906558
250,-4866.747038903804,531.4435603559456
260,-4880.117147011951,544.7653134811538
270,-4873.744638907035,538.4584628071877
280,-4879.71056848565,544.3501992304167
290,-4869.838415751961,534.5552089804478
300,-4904.136702964335,568.7533624532227
310,-4897.63038395444,562.2776779903777
320,-4896.076090063952,560.744023324663
330,-4914.522122334087,579.0983584793207
340,-4924.681641575238,589.3221955231325
350,-4947.351126934909,611.9865522780258
360,-4950.224431328117,614.8516817902943
370,-4957.056118714647,621.7132876847272
380,-4969.110127661337,633.7269722364335
390,-4957.194179849348,621.8484489562195
400,-4960.9488577026,625.6004441843608
410,-4955.253838298984,619.9094715047282
420,-4932.238335303473,596.8562115629137
430,-4926.861906255692,591.4443221572058
440,-4912.091746486225,576.7326574759139
450,-4926.38206005547,591.0178348705672
460,-4955.317424967236,619.9192766394125
470,-4938.392947503258,603.0133869384655
480,-4940.028999799923,604.6735055000572
490,-4961.253442912709,625.8243328991214
500,-4938.593661292251,603.2027360062837
510,-4928.991633998221,593.5836395365116
520,-4930.3847386313955,594.9482289789614
530,-4928.006733953722,592.6306672623507
540,-4946.398883914979,611.0215357249709
550,-4971.280273245896,635.85128943854
560,-4965.921975982727,630.5472427579327
570,-4970.872935364387,635.4359496180848
580,-4957.568849132105,622.1881864530721
590,-4969.001146328625,633.6064441913502
600,-4968.273131457086,632.8854095017787
610,-4958.931087909841,623.5520747737735
620,-4956.426052062224,621.0298690562825
630,-4963.914220562059,628.5132066611498
640,-4969.525769350901,634.1073046855977
650,-4958.934891871288,623.5606876483414
660,-4966.44014021171,631.0476608691476
670,-4974.010581264495,638.5761594850144
680,-4961.3635406627145,625.9620836953744
690,-4946.508058417017,611.1168818292379
700,-4963.9762348995355,628.5361077216935
710,-4975.572552926218,640.1679444115799
720,-4960.611690298061,625.222028611334
730,-4959.972479437302,624.5764442006056
740,-4962.485361273557,627.0855934107817
750,-4960.457928574466,625.104864502809
760,-4979.147950506146,643.7545037612621
770,-4973.291167711324,637.9212580548188
780,-4974.957472643131,639.5627685453283
790,-4967.668528220349,632.305064258658
800,-4974.967358545815,639.5739771286358
810,-4976.640749070786,641.25200167126
820,-4978.969686343458,643.5876824619797
830,-4981.490997116469,646.1349589006381
840,-4981.25509332332,645.8771694049749
850,-4973.5838516487,638.1899796458753
860,-4971.731141987497,636.3351797838666
870,-4967.233914708766,631.861153617315
880,-4971.4021662097475,635.9929522510229
890,-4975.804561367595,640.428014762726
900,-4994.295128001711,658.865210466477
910,-4970.645021338967,635.2591477209285
920,-4942.67020882736,607.308689226774
930,-4955.457117343068,620.0732751092971
940,-4975.447250101404,640.043537662976
950,-4966.835217324959,631.4476149458357
960,-4955.74160586541,620.3460064977097
970,-4953.909419688702,618.5457027793153
980,-4964.607960331961,629.1932077670554
990,-4948.759763323499,613.3898360253504
