n,Un,Kn
0,-4435.977942636352,1333.3018375775964
10,-4428.26415434673,1325.5238708510683
20,-4395.529029265003,1292.8915760355187
30,-4452.860867433492,1349.9708478575085
40,-4431.95292552868,1329.2857779857848
50,-4435.641046087925,1332.9169085213464
60,-4441.587360528983,1338.9180115739764
70,-4482.264577916529,1379.477500714192
80,-4463.847898451782,1361.1331043968817
90,-4485.164110047661,1382.3670504465535
100,-4439.989628369227,1337.4255566587235
110,-4437.22838977065,1334.5117968108448
120,-4439.508827183388,1336.7527921038534
130,-4410.043810219686,1307.4562882252549
140,-4474.866538647203,1372.0969493223843
150,-4441.723848865472,1339.147329523666
160,-4477.305195061953,1374.5157074081674
170,-4461.6955981352385,1359.0182953004671
180,-4450.231228885909,1347.5452402364497
190,-4452.216415821296,1349.4972837452372
200,-4441.185913679466,1338.466161619306
210,-4405.614912329279,1302.9008490239482
220,-4451.352773614604,1348.6102884190045
230,-4504.804863652007,1402.0207303039729
240,-4433.008226925225,1330.4390787671891
250,-4468.248627255138,1365.358462067958
260,-4452.7386366049395,1349.990181872789
270,-4445.304963670967,1342.6545684594626
280,-4460.747669173131,1358.0509208100639
290,-4438.227931407286,1335.572488865437
300,-4444.3105282514025,1341.6316339385012
310,-4445.689430500365,1342.9993644508731
320,-4451.783396489506,1349.0789390605096
330,-4453.867892044053,1351.1210039128778
340,-4443.9886391491,1341.2969294747531
350,-4471.575441889432,1368.9375062452539
360,-4498.077233692854,1395.2318658409904
370,-4433.443809588633,1330.8882621843436
380,-4472.1880415585,1369.4167274312726
390,-4446.661537110915,1344.1364817244212
400,-4519.3405761795275,1416.5873753365156
410,-4504.577428413951,1401.8417442502277
420,-4457.946651344689,1355.2346772946235
430,-4431.210084048492,1328.6203979879692
440,-4475.861961300904,1373.0947605257534
450,-4459.1898572892715,1356.517568103587
460,-4503.486628037362,1400.6603095961664
470,-4477.591478112229,1374.9545980774947
480,-4471.534371812774,1368.8299685108266
490,-4453.397885960063,1350.6188084860994
500,-4474.651280800711,1371.8515152010027
510,-4470.85820932572,1368.1668981249663
520,-4456.787199992605,1354.1213950567762
530,-4464.070152378822,1361.235277018129
540,-4422.094256706851,1319.4042775281941
550,-4430.409204385455,1327.736583531181
560,-4460.679164106456,1357.9283311683278
570,-4447.418140844477,1344.6877678059027
580,-4423.4252478268245,1320.8214808757675
590,-4469.852665142715,1367.113037229627
600,-4480.147150716593,1377.3836451305428
610,-4434.573214142753,1331.9183984235262
620,-4465.730966611673,1363.0696572947966
630,-4489.154869520801,1386.5128381020113
640,-4468.82053220989,1366.1644674058923
650,-4481.608309913635,1378.8399577626437
660,-4440.569744384843,1337.867529665305
670,-4437.242477973515,1334.605944271339
680,-4485.16126802723,1382.4432551727666
690,-4450.378967442708,1347.6915388905174
700,-4421.388843888323,1318.7183705555706
710,-4450.830031879152,1348.040714381464
720,-4456.189770040485,1353.4159001676162
730,-4435.948926587441,1333.382351109828
740,-4485.879572778554,1383.0179556427224
750,-4434.646123999807,1331.9238000817268
760,-4449.676841699073,1346.8659174977083
770,-4461.884161117601,1359.0852759940171
780,-4458.991287811694,1356.2506205941718
790,-4454.125548143191,1351.4853819816549
800,-4474.612127418427,1371.826251334127
810,-4442.329626260475,1339.5969226115765
820,-4465.4380090023315,1362.7337275033321
830,-4464.78359485959,1362.1011058634513
840,-4468.905915368385,1366.1562585058748
850,-4483.778468581502,1381.0015251306922
860,-4429.416508916834,1326.7197521415737
870,-4414.66391829989,1311.9776387887423
880,-4459.875549052264,1357.0074522281993
890,-4457.029249295862,1354.3076405128663
900,-4467.539130351681,1364.81692846522
910,-4470.173674493877,1367.4943081733804
920,-4480.929177816406,1378.22762374665
930,-4475.856997433935,1373.113979840538
940,-4428.750867941922,1326.171351676287
950,-4468.369299640111,1365.5696192378025
960,-4451.6928927330555,1348.99748192128
970,-4497.392249327351,1394.6437646689583
980,-4478.941362272103,1376.3024942641812
990,-4426.866867909101,1324.2011599400262
1000,-4431.727651523259,1329.072026157122
1010,-4473.260508238379,1370.4577179793123
1020,-4446.1003439678225,1343.3855933776915
1030,-4463.48068187775,1360.661358113004
1040,-4454.458669463401,1351.6138116053376
1050,-4465.6334455869755,1362.926356445102
1060,-4518.876954459368,1416.1055257452006
1070,-4458.398727082983,1355.7400428206943
1080,-4458.430665607976,1355.691440865211
1090,-4453.582015704165,1350.9650608765808
1100,-4462.262043342182,1359.645830710861
1110,-4487.3646227075005,1384.5330371330583
1120,-4443.299926698116,1340.6353618272867
1130,-4438.245937543184,1335.6418935406377
1140,-4455.1356394808745,1352.4092069629182
1150,-4487.438673726734,1384.6431246958425
1160,-4474.341569728821,1371.734009926942
1170,-4486.8867097690245,1384.162681173123
1180,-4455.100203865537,1352.367772721403
1190,-4445.9530018270925,1343.2416811544522
1200,-4440.989018282488,1338.334766351564
1210,-4444.470979827489,1341.6515810728938
1220,-4418.38473769671,1315.7499970446875
1230,-4424.537509763835,1321.8203320292364
1240,-4426.332210356162,1323.6535901451548
1250,-4462.137055197103,1359.3823876443741
1260,-4445.906864252269,1343.2388481378762
1270,-4460.925671487186,1358.2311938916284
1280,-4470.990235206999,1368.1195403933632
1290,-4413.069024001898,1310.4745051827076
1300,-4465.417448364107,1362.558878177064
1310,-4428.830531486879,1326.1021343253474
1320,-4449.3548450483495,1346.5273878010025
1330,-4436.496732856351,1333.7172991713428
1340,-4455.527558721187,1352.751643128689
1350,-4445.832144224398,1343.1852736388817
1360,-4450.421529356701,1347.7640395903602
1370,-4501.07339671731,1398.2647977215597
1380,-4482.274526371852,1379.6329517645368
1390,-4481.95117963458,1379.2120106796492
1400,-4496.267733170162,1393.4664018590006
1410,-4474.831916576107,1372.1999998618576
1420,-4433.432300876886,1330.6699397677326
1430,-4402.421409435306,1299.7321095580642
1440,-4442.511212458673,1339.737135487972
1450,-4467.904115041924,1365.2258734872858
1460,-4477.668791360179,1374.9173049556744
1470,-4496.060123333151,1393.2490249744424
1480,-4448.4734249352005,1345.8623067884955
1490,-4476.175403629551,1373.455256711773
1500,-4485.266665650311,1382.4559660102618
1510,-4451.96948098519,1349.1894977272266
1520,-4473.4181171550135,1370.700706112292
1530,-4497.089022999753,1394.3329371472198
1540,-4454.892251389071,1352.2456170196808
1550,-4439.621622682272,1336.9864286385775
1560,-4478.1794528805995,1375.319540773964
1570,-4433.142555680151,1330.4239230024662
1580,-4459.6089645226675,1356.8169552560744
1590,-4450.132919514065,1347.4062848618512
1600,-4452.023162611974,1349.258438851237
1610,-4454.551991943712,1351.7997042607465
1620,-4456.546737154793,1353.869153869321
1630,-4440.23390045404,1337.5594375450175
1640,-4471.7754151804465,1369.0089887189354
1650,-4474.841829318039,1372.2179136006303
1660,-4486.518867661586,1383.7572685905157
1670,-4462.0028035823525,1359.3514988538063
1680,-4446.307934891438,1343.6670417579962
1690,-4460.740786281371,1357.999886056675
1700,-4434.584764736183,1331.812082128541
1710,-4417.382099880741,1314.6665815876174
1720,-4457.429049962607,1354.6767084470862
1730,-4456.517516327964,1353.7977611803576
1740,-4433.714672272826,1331.0827598226715
1750,-4436.095254323792,1333.4188118637526
1760,-4429.104882821502,1326.4083333218641
1770,-4449.926513647672,1347.1386743839278
1780,-4431.738639743674,1328.9254828606358
1790,-4430.849675605404,1328.060380161537
1800,-4457.888991307967,1355.1802965165189
1810,-4436.479346033156,1333.8698693457452
1820,-4452.165926292873,1349.4159491476205
1830,-4472.019169417564,1369.3320783969143
1840,-4459.329626162278,1356.6123241412326
